Customer_ID,Customer_Name,Email,Phone,Age,Gender,City,State,Country,Join_Date,Last_Purchase_Date,Customer_Segment,Annual_Income,Transaction_Count,Customer_Score
CUST53707,Kalpit Bora,gautamisundaram@example.org,5332195800,19,Male,Lucknow,Uttar Pradesh,India,2017-05-12,2023-11-02,Premium,1359524.0,256,90
CUST66606,Frado Varghese,pkadakia@example.org,6703849340,28,Female,Chennai,Tamil Nadu,India,2021-03-18,2024-12-23,Standard,1012568.0,135,97
CUST102711,Falguni Dyal,jonathan92@example.com,6754009190,65,Other,Delhi,Delhi,India,2022-10-29,2022-04-26,Standard,1966507.0,465,69
CUST44569,Gaurang Bhandari,bhavna62@example.org,8798298860,38,Other,Jaipur,Rajasthan,India,2023-01-03,2024-02-16,Standard,789381.0,115,61
CUST54823,Vasana Bassi,caleb69@example.net,4718573710,45,Female,Delhi,Delhi,India,2020-08-12,2025-07-20,BASIC,856202.0,288,6
CUST50606,Eshana Zachariah,lilamallick@example.org,1591058830,61,Male,Delhi,Delhi,India,2025-03-13,2025-05-31,Standard,1538447.0,440,78
CUST55796,Vamakshi Pai,psingh@example.org,7151106380,18,Female,Bengaluru,Karnataka,India,2026-06-16,2026-06-18,Basic,1475811.0,475,97
CUST24644,Keya Bora,,6646753480,19,Other,Hyderabad,Telangana,India,2022-12-29,2025-06-10,Premium,1635396.0,240,74
CUST93758,Jonathan Ramanathan,bhavyamore@example.org,0115704410,65,Female,Lucknow,Uttar Pradesh,India,2018-04-25,2020-03-19,Basic,1398038.0,59,48
CUST79034,Qabil Reddy,branganathan@example.com,5772787710,34,Female,Pune,Maharashtra,India,2019-07-10,2025-07-12,Premium,1952772.0,202,23
CUST70668,Faraj Sandal,basakreyansh@example.org,0104375580,31,Other,Kolkata,West Bengal,INDIA,2018-08-22,2019-12-05,Premium,1131822.0,458,87
CUST89734,Samaksh Sachdeva,nreddy@example.com,1203904320,20,Male,Delhi,Delhi,India,2023-01-17,2025-05-20,basic,558298.0,396,58
CUST80894,Mohammed Char,,3149515560,65,Other,Bengaluru,Karnataka,India,2017-10-15,2022-05-29,Premium,547266.0,117,83
CUST101763,Radhika Dayal,jackson94@example.org,9546879020,26,Male,Chennai,Tamil Nadu,India,2018-06-14,2022-01-16,Standard,1032762.0,335,84
CUST17335,Charvi Nagar,venkataramancharvi@example.net,8584562260,49,Other,Kolkata,West Bengal,India,2023-09-17,2024-02-07,Premium,1760130.0,186,51
